abilities	against_bug	against_dark	against_dragon	against_electric	against_fairy	against_fight	against_fire	against_flying	against_ghost	against_grass	against_ground	against_ice	against_normal	against_poison	against_psychic	against_rock	against_steel	against_water	attack	base_egg_steps	base_happiness	base_total	capture_rate	classfication	defense	experience_growth	hp	japanese_name	name	pokedex_number	sp_attack	sp_defense	speed	type1	generation	is_legendary
"['Chlorophyll', 'Harvest']"	4	2	1	0.5	1	0.5	2	2	2	0.5	0.5	2	1	2	0.5	1	1	0.5	40	5120	70	325	90	Egg Pokmon	80	1250000	60	Tamatama?^?}?^?}	Exeggcute	102	60	45	40	grass	1	0
"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']"	4	2	1	0.5	1	0.5	2	2	2	0.5	0.5	2	1	2	0.5	1	1	0.5	105	5120	70	530	45	Coconut Pokmon	85	1250000	95	Nassy?i?b?V?[	Exeggutor	103	125	75	45	grass	1	0
"['Rock Head', 'Lightningrod', 'Battle Armor']"	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	50	5120	70	320	190	Lonely Pokmon	95	1000000	50	Karakara?J???J??	Cubone	104	40	50	35	ground	1	0
"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']"	1	1	1	0	1	1	1	1	1	2	1	2	1	0.5	1	0.5	1	2	80	5120	70	425	75	Bone Keeper Pokmon	110	1000000	60	Garagara?K???K??	Marowak	105	50	80	45	ground	1	0
"['Limber', 'Reckless', 'Unburden']"	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	120	6400	70	455	45	Kicking Pokmon	53	1000000	50	Sawamular?T???????[	Hitmonlee	106	35	110	87	fighting	1	0
"['Keen Eye', 'Iron Fist', 'Inner Focus']"	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	105	6400	70	455	45	Punching Pokmon	79	1000000	50	Ebiwalar?G?r?????[	Hitmonchan	107	35	110	76	fighting	1	0
"['Own Tempo', 'Oblivious', 'Cloud Nine']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	55	5120	70	385	45	Licking Pokmon	75	1000000	90	Beroringa?x???????K	Lickitung	108	60	75	30	normal	1	0
['Levitate']	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	65	5120	70	340	190	Poison Gas Pokmon	95	1000000	40	Dogars?h?K?[?X	Koffing	109	60	45	35	poison	1	0
['Levitate']	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	90	5120	70	490	60	Poison Gas Pokmon	120	1000000	65	Matadogas?}?^?h?K?X	Weezing	110	85	70	60	poison	1	0
"['Lightningrod', 'Rock Head', 'Reckless']"	1	1	1	0	1	2	0.5	0.5	1	4	2	2	0.5	0.25	1	0.5	2	4	85	5120	70	345	120	Spikes Pokmon	95	1250000	80	Sihorn?T?C?z?[??	Rhyhorn	111	30	30	25	ground	1	0
"['Lightningrod', 'Rock Head', 'Reckless']"	1	1	1	0	1	2	0.5	0.5	1	4	2	2	0.5	0.25	1	0.5	2	4	130	5120	70	485	60	Drill Pokmon	120	1250000	105	Sidon?T?C?h??	Rhydon	112	45	45	40	ground	1	0
"['Natural Cure', 'Serene Grace', 'Healer']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	5	10240	140	450	30	Egg Pokmon	5	800000	250	Lucky???b?L?[	Chansey	113	35	105	50	normal	1	0
"['Chlorophyll', 'Leaf Guard', 'Regenerator']"	2	1	1	0.5	1	1	2	2	1	0.5	0.5	2	1	2	1	1	1	0.5	55	5120	70	435	45	Vine Pokmon	115	1000000	65	Monjara?????W????	Tangela	114	100	40	60	grass	1	0
"['Early Bird', 'Scrappy', 'Inner Focus']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	125	5120	70	590	45	Parent Pokmon	100	1000000	105	Garura?K???[??	Kangaskhan	115	60	100	100	normal	1	0
"['Swift Swim', 'Sniper', 'Damp']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	40	5120	70	295	225	Dragon Pokmon	70	1000000	30	Tattu?^?b?c?[	Horsea	116	70	25	60	water	1	0
"['Poison Point', 'Sniper', 'Damp']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	65	5120	70	440	75	Dragon Pokmon	95	1000000	55	Seadra?V?[?h??	Seadra	117	95	45	85	water	1	0
"['Swift Swim', 'Water Veil', 'Lightningrod']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	67	5120	70	320	225	Goldfish Pokmon	60	1000000	45	Tosakinto?g?T?L???g	Goldeen	118	35	50	63	water	1	0
"['Swift Swim', 'Water Veil', 'Lightningrod']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	92	5120	70	450	60	Goldfish Pokmon	65	1000000	80	Azumao?A?Y?}?I?E	Seaking	119	65	80	68	water	1	0
"['Illuminate', 'Natural Cure', 'Analytic']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	45	5120	70	340	225	Starshape Pokmon	55	1250000	30	Hitodeman?q?g?f?}??	Staryu	120	70	55	85	water	1	0
"['Illuminate', 'Natural Cure', 'Analytic']"	2	2	1	2	1	0.5	0.5	1	2	2	1	0.5	1	1	0.5	1	0.5	0.5	75	5120	70	520	60	Mysterious Pokmon	85	1250000	60	Starmie?X?^?[?~?[	Starmie	121	100	85	115	water	1	0
"['Soundproof', 'Filter', 'Technician']"	1	1	0	1	1	0.25	1	1	2	1	1	1	1	2	0.5	1	2	1	45	6400	70	460	45	Barrier Pokmon	65	1000000	40	Barrierd?o?????[?h	Mr. Mime	122	100	120	90	psychic	1	0
"['Swarm', 'Technician', 'Steadfast']"	0.5	1	1	2	1	0.25	2	2	1	0.25	0	2	1	1	1	4	1	1	110	6400	70	500	45	Mantis Pokmon	80	1000000	70	Strike?X?g???C?N	Scyther	123	55	80	105	bug	1	0
"['Oblivious', 'Forewarn', 'Dry Skin']"	2	2	1	1	1	1	2	1	2	1	1	0.5	1	1	0.5	2	2	1	50	6400	70	455	45	Humanshape Pokmon	35	1000000	65	Rougela???[?W????	Jynx	124	115	95	95	ice	1	0
"['Static', 'Vital Spirit']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	83	6400	70	490	45	Electric Pokmon	57	1000000	65	Eleboo?G???u?[	Electabuzz	125	95	85	105	electric	1	0
"['Flame Body', 'Vital Spirit']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	95	6400	70	495	45	Spitfire Pokmon	57	1000000	65	Boober?u?[?o?[	Magmar	126	100	85	93	fire	1	0
"['Hyper Cutter', 'Mold Breaker', 'Moxie']"	1	1	1	1	1	0.5	2	2	1	0.5	0.5	1	1	1	1	2	1	1	155	6400	70	600	45	Stagbeetle Pokmon	120	1250000	65	Kailios?J?C???X	Pinsir	127	65	90	105	bug	1	0
"['Intimidate', 'Anger Point', 'Sheer Force']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	100	5120	70	490	45	Wild Bull Pokmon	95	1250000	75	Kentauros?P???^???X	Tauros	128	40	70	110	normal	1	0
"['Swift Swim', 'Rattled']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	10	1280	70	200	255	Fish Pokmon	55	1250000	20	Koiking?R?C?L???O	Magikarp	129	15	20	80	water	1	0
"['Intimidate', 'Moxie']"	0.5	1	1	4	1	0.5	0.5	1	1	1	0	1	1	1	1	2	0.5	0.5	155	1280	70	640	45	Atrocious Pokmon	109	1250000	95	Gyarados?M?????h?X	Gyarados	130	70	130	81	water	1	0
"['Water Absorb', 'Shell Armor', 'Hydration']"	1	1	1	2	1	2	1	1	1	2	1	0.25	1	1	1	2	1	0.5	85	10240	70	535	45	Transport Pokmon	80	1250000	130	Laplace???v???X	Lapras	131	85	95	60	water	1	0
"['Limber', 'Imposter']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	48	5120	70	288	35	Transform Pokmon	48	1000000	48	Metamon???^????	Ditto	132	48	48	48	normal	1	0
"['Run Away', 'Adaptability', 'Anticipation']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	55	8960	70	325	45	Evolution Pokmon	50	1000000	55	Eievui?C?[?u?C	Eevee	133	45	65	55	normal	1	0
"['Water Absorb', 'Hydration']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	65	8960	70	525	45	Bubble Jet Pokmon	60	1000000	130	Showers?V?????[?Y	Vaporeon	134	110	95	65	water	1	0
"['Volt Absorb', 'Quick Feet']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	65	8960	70	525	45	Lightning Pokmon	60	1000000	65	Thunders?T???_?[?X	Jolteon	135	110	95	130	electric	1	0
"['Flash Fire', 'Guts']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	130	8960	70	525	45	Flame Pokmon	60	1000000	65	Booster?u?[?X?^?[	Flareon	136	95	110	65	fire	1	0
"['Trace', 'Download', 'Analytic']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	60	5120	70	395	45	Virtual Pokmon	70	1000000	65	Porygon?|???S??	Porygon	137	85	75	40	normal	1	0
"['Swift Swim', 'Shell Armor', 'Weak Armor']"	1	1	1	2	1	2	0.25	0.5	1	4	2	0.5	0.5	0.5	1	1	1	1	40	7680	70	355	45	Spiral Pokmon	100	1000000	35	Omnite?I???i?C?g	Omanyte	138	90	55	35	rock	1	0
"['Swift Swim', 'Shell Armor', 'Weak Armor']"	1	1	1	2	1	2	0.25	0.5	1	4	2	0.5	0.5	0.5	1	1	1	1	60	7680	70	495	45	Spiral Pokmon	125	1000000	70	Omstar?I???X?^?[	Omastar	139	115	70	55	rock	1	0
"['Swift Swim', 'Battle Armor', 'Weak Armor']"	1	1	1	2	1	2	0.25	0.5	1	4	2	0.5	0.5	0.5	1	1	1	1	80	7680	70	355	45	Shellfish Pokmon	90	1000000	30	Kabuto?J?u?g	Kabuto	140	55	45	55	rock	1	0
"['Swift Swim', 'Battle Armor', 'Weak Armor']"	1	1	1	2	1	2	0.25	0.5	1	4	2	0.5	0.5	0.5	1	1	1	1	115	7680	70	495	45	Shellfish Pokmon	105	1000000	60	Kabutops?J?u?g?v?X	Kabutops	141	65	70	80	rock	1	0
"['Rock Head', 'Pressure', 'Unnerve']"	0.5	1	1	2	1	1	0.5	0.5	1	1	0	2	0.5	0.5	1	2	2	2	135	8960	70	615	45	Fossil Pokmon	85	1250000	80	Ptera?v?e??	Aerodactyl	142	70	95	150	rock	1	0
"['Immunity', 'Thick Fat', 'Gluttony']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	110	10240	70	540	25	Sleeping Pokmon	65	1250000	160	Kabigon?J?r?S??	Snorlax	143	65	110	30	normal	1	0
"['Pressure', 'Snow Cloak']"	0.5	1	1	2	1	1	2	1	1	0.5	0	1	1	1	1	4	2	1	85	20480	35	580	3	Freeze Pokmon	100	1250000	90	Freezer?t???[?U?[	Articuno	144	95	125	85	ice	1	1
"['Pressure', 'Static']"	0.5	1	1	1	1	0.5	1	0.5	1	0.5	0	2	1	1	1	2	0.5	1	90	20480	35	580	3	Electric Pokmon	85	1250000	90	Thunder?T???_?[	Zapdos	145	125	90	100	electric	1	1
"['Pressure', 'Flame Body']"	0.25	1	1	2	0.5	0.5	0.5	1	1	0.25	0	1	1	1	1	4	0.5	2	100	20480	35	580	3	Flame Pokmon	90	1250000	90	Fire?t?@?C???[	Moltres	146	125	85	90	fire	1	1
"['Shed Skin', 'Marvel Scale']"	1	1	2	0.5	2	1	0.5	1	1	0.5	1	2	1	1	1	1	1	0.5	64	10240	35	300	45	Dragon Pokmon	45	1250000	41	Miniryu?~?j?????E	Dratini	147	50	50	50	dragon	1	0
"['Shed Skin', 'Marvel Scale']"	1	1	2	0.5	2	1	0.5	1	1	0.5	1	2	1	1	1	1	1	0.5	84	10240	35	420	45	Dragon Pokmon	65	1250000	61	Hakuryu?n?N?????[	Dragonair	148	70	70	70	dragon	1	0
"['Inner Focus', 'Multiscale']"	0.5	1	2	1	2	0.5	0.5	1	1	0.25	0	4	1	1	1	2	1	0.5	134	10240	35	600	45	Dragon Pokmon	95	1250000	91	Kairyu?J?C?????[	Dragonite	149	100	100	80	dragon	1	0
"['Pressure', 'Unnerve']"	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	150	30720	0	780	3	Genetic Pokmon	70	1250000	106	Mewtwo?~???E?c?[	Mewtwo	150	194	120	140	psychic	1	1
['Synchronize']	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	100	30720	100	600	45	New Species Pokmon	100	1059860	100	Mew?~???E	Mew	151	100	100	100	psychic	1	1
"['Overgrow', 'Leaf Guard']"	2	1	1	0.5	1	1	2	2	1	0.5	0.5	2	1	2	1	1	1	0.5	49	5120	70	318	45	Leaf Pokmon	65	1059860	45	Chicorita?`?R???[?^	Chikorita	152	49	65	45	grass	2	0
"['Overgrow', 'Leaf Guard']"	2	1	1	0.5	1	1	2	2	1	0.5	0.5	2	1	2	1	1	1	0.5	62	5120	70	405	45	Leaf Pokmon	80	1059860	60	Bayleaf?x?C???[?t	Bayleef	153	63	80	60	grass	2	0
"['Overgrow', 'Leaf Guard']"	2	1	1	0.5	1	1	2	2	1	0.5	0.5	2	1	2	1	1	1	0.5	82	5120	70	525	45	Herb Pokmon	100	1059860	80	Meganium???K?j?E??	Meganium	154	83	100	80	grass	2	0
"['Blaze', 'Flash Fire']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	52	5120	70	309	45	Fire Mouse Pokmon	43	1059860	39	Hinoarashi?q?m?A???V	Cyndaquil	155	60	50	65	fire	2	0
"['Blaze', 'Flash Fire']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	64	5120	70	405	45	Volcano Pokmon	58	1059860	58	Magmarashi?}?O?}???V	Quilava	156	80	65	80	fire	2	0
"['Blaze', 'Flash Fire']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	84	5120	70	534	45	Volcano Pokmon	78	1059860	78	Bakphoon?o?N?t?[??	Typhlosion	157	109	85	100	fire	2	0
"['Torrent', 'Sheer Force']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	65	5120	70	314	45	Big Jaw Pokmon	64	1059860	50	Waninoko???j?m?R	Totodile	158	44	48	43	water	2	0
"['Torrent', 'Sheer Force']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	80	5120	70	405	45	Big Jaw Pokmon	80	1059860	65	Alligates?A???Q?C?c	Croconaw	159	59	63	58	water	2	0
"['Torrent', 'Sheer Force']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	105	5120	70	530	45	Big Jaw Pokmon	100	1059860	85	Ordile?I?[?_?C??	Feraligatr	160	79	83	78	water	2	0
"['Run Away', 'Keen Eye', 'Frisk']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	46	3840	70	215	255	Scout Pokmon	34	1000000	35	Otachi?I?^?`	Sentret	161	35	45	20	normal	2	0
"['Run Away', 'Keen Eye', 'Frisk']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	76	3840	70	415	90	Long Body Pokmon	64	1000000	85	Ootachi?I?I?^?`	Furret	162	45	55	90	normal	2	0
"['Insomnia', 'Keen Eye', 'Tinted Lens']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	30	3840	70	262	255	Owl Pokmon	30	1000000	60	Hoho?z?[?z?[	Hoothoot	163	36	56	50	normal	2	0
"['Insomnia', 'Keen Eye', 'Tinted Lens']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	50	3840	70	452	90	Owl Pokmon	50	1000000	100	Yorunozuku?????m?Y?N	Noctowl	164	86	96	70	normal	2	0
"['Swarm', 'Early Bird', 'Rattled']"	0.5	1	1	2	1	0.25	2	2	1	0.25	0	2	1	1	1	4	1	1	20	3840	70	265	255	Five Star Pokmon	30	800000	40	Rediba???f?B?o	Ledyba	165	40	80	55	bug	2	0
"['Swarm', 'Early Bird', 'Iron Fist']"	0.5	1	1	2	1	0.25	2	2	1	0.25	0	2	1	1	1	4	1	1	35	3840	70	390	90	Five Star Pokmon	50	800000	55	Redian???f?B?A??	Ledian	166	55	110	85	bug	2	0
"['Swarm', 'Insomnia', 'Sniper']"	0.5	1	1	1	0.5	0.25	2	2	1	0.25	1	1	1	0.5	2	2	1	1	60	3840	70	250	255	String Spit Pokmon	40	800000	40	Itomaru?C?g?}??	Spinarak	167	40	40	30	bug	2	0
"['Swarm', 'Insomnia', 'Sniper']"	0.5	1	1	1	0.5	0.25	2	2	1	0.25	1	1	1	0.5	2	2	1	1	90	3840	70	400	90	Long Leg Pokmon	70	800000	70	Ariados?A???A?h?X	Ariados	168	60	70	40	bug	2	0
"['Inner Focus', 'Infiltrator']"	0.25	1	1	2	0.5	0.25	1	1	1	0.25	0	2	1	0.5	2	2	1	1	90	3840	70	535	90	Bat Pokmon	80	1000000	85	Crobat?N???o?b?g	Crobat	169	70	80	130	poison	2	0
"['Volt Absorb', 'Illuminate', 'Water Absorb']"	1	1	1	1	1	1	0.5	0.5	1	2	2	0.5	1	1	1	1	0.25	0.5	38	5120	70	330	190	Angler Pokmon	38	1250000	75	Chonchie?`?????`?[	Chinchou	170	56	56	67	water	2	0
"['Volt Absorb', 'Illuminate', 'Water Absorb']"	1	1	1	1	1	1	0.5	0.5	1	2	2	0.5	1	1	1	1	0.25	0.5	58	5120	70	460	75	Light Pokmon	58	1250000	125	Lantern?????^?[??	Lanturn	171	76	76	67	water	2	0
"['Static', 'Lightningrod']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	40	2560	70	205	190	Tiny Mouse Pokmon	15	1000000	20	Pichu?s?`???[	Pichu	172	35	35	60	electric	2	0
"['Cute Charm', 'Magic Guard', 'Friend Guard']"	0.5	0.5	0	1	1	0.5	1	1	1	1	1	1	1	2	1	1	2	1	25	2560	140	218	150	Star Shape Pokmon	28	800000	50	Py?s?B	Cleffa	173	45	55	15	fairy	2	0
"['Cute Charm', 'Competitive', 'Friend Guard']"	0.5	0.5	0	1	1	1	1	1	0	1	1	1	1	2	1	1	2	1	30	2560	70	210	170	Balloon Pokmon	15	800000	90	Pupurin?v?v????	Igglybuff	174	40	20	15	normal	2	0
"['Hustle', 'Serene Grace', 'Super Luck']"	0.5	0.5	0	1	1	0.5	1	1	1	1	1	1	1	2	1	1	2	1	20	2560	70	245	190	Spike Ball Pokmon	65	800000	35	Togepy?g?Q?s?[	Togepi	175	40	65	20	fairy	2	0
"['Hustle', 'Serene Grace', 'Super Luck']"	0.25	0.5	0	2	1	0.25	1	1	1	0.5	0	2	1	2	1	2	2	1	40	2560	70	405	75	Happiness Pokmon	85	800000	55	Togechick?g?Q?`?b?N	Togetic	176	80	105	40	fairy	2	0
"['Synchronize', 'Early Bird', 'Magic Bounce']"	1	2	1	2	1	0.25	1	1	2	0.5	0	2	1	1	0.5	2	1	1	50	5120	70	320	190	Little Bird Pokmon	45	1000000	40	Naty?l?C?e?B	Natu	177	70	45	70	psychic	2	0
"['Synchronize', 'Early Bird', 'Magic Bounce']"	1	2	1	2	1	0.25	1	1	2	0.5	0	2	1	1	0.5	2	1	1	75	5120	70	470	75	Mystic Pokmon	70	1000000	65	Natio?l?C?e?B?I	Xatu	178	95	70	95	psychic	2	0
"['Static', 'Plus']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	40	5120	70	280	235	Wool Pokmon	40	1059860	55	Merriep?????[?v	Mareep	179	65	45	35	electric	2	0
"['Static', 'Plus']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	55	5120	70	365	120	Wool Pokmon	55	1059860	70	Mokoko???R?R	Flaaffy	180	80	60	45	electric	2	0
"['Static', 'Plus']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	95	5120	70	610	45	Light Pokmon	105	1059860	90	Denryu?f???????E	Ampharos	181	165	110	45	electric	2	0
"['Chlorophyll', 'Healer']"	2	1	1	0.5	1	1	2	2	1	0.5	0.5	2	1	2	1	1	1	0.5	80	5120	70	490	45	Flower Pokmon	95	1059860	75	Kireihana?L???C?n?i	Bellossom	182	90	100	50	grass	2	0
"['Thick Fat', 'Huge Power', 'Sap Sipper']"	0.5	0.5	0	2	1	0.5	0.5	1	1	2	1	0.5	1	2	1	1	1	0.5	20	2560	70	250	190	Aquamouse Pokmon	50	800000	70	Maril?}????	Marill	183	20	50	40	water	2	0
"['Thick Fat', 'Huge Power', 'Sap Sipper']"	0.5	0.5	0	2	1	0.5	0.5	1	1	2	1	0.5	1	2	1	1	1	0.5	50	2560	70	420	75	Aquarabbit Pokmon	80	800000	100	Marilli?}??????	Azumarill	184	60	80	50	water	2	0
"['Sturdy', 'Rock Head', 'Rattled']"	1	1	1	1	1	2	0.5	0.5	1	2	2	1	0.5	0.5	1	1	2	2	100	5120	70	410	65	Imitation Pokmon	115	1000000	70	Usokkie?E?\?b?L?[	Sudowoodo	185	30	65	30	rock	2	0
"['Water Absorb', 'Damp', 'Drizzle']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	75	5120	70	500	45	Frog Pokmon	75	1059860	90	Nyorotono?j?????g?m	Politoed	186	90	100	70	water	2	0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"	1	1	1	1	1	0.5	2	2	1	0.25	0	4	1	2	1	2	1	0.5	35	5120	70	250	255	Cottonweed Pokmon	40	1059860	35	Hanecco?n?l?b?R	Hoppip	187	35	55	50	grass	2	0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"	1	1	1	1	1	0.5	2	2	1	0.25	0	4	1	2	1	2	1	0.5	45	5120	70	340	120	Cottonweed Pokmon	50	1059860	55	Popocco?|?|?b?R	Skiploom	188	45	65	80	grass	2	0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']"	1	1	1	1	1	0.5	2	2	1	0.25	0	4	1	2	1	2	1	0.5	55	5120	70	460	45	Cottonweed Pokmon	70	1059860	75	Watacco???^?b?R	Jumpluff	189	55	95	110	grass	2	0
"['Run Away', 'Pickup', 'Skill Link']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	70	5120	70	360	45	Long Tail Pokmon	55	800000	55	Eipam?G?C?p??	Aipom	190	40	55	85	normal	2	0
"['Chlorophyll', 'Solar Power', 'Early Bird']"	2	1	1	0.5	1	1	2	2	1	0.5	0.5	2	1	2	1	1	1	0.5	30	5120	70	180	235	Seed Pokmon	30	1059860	30	Himanuts?q?}?i?b?c	Sunkern	191	30	30	30	grass	2	0
"['Chlorophyll', 'Solar Power', 'Early Bird']"	2	1	1	0.5	1	1	2	2	1	0.5	0.5	2	1	2	1	1	1	0.5	75	5120	70	425	120	Sun Pokmon	55	1059860	75	Kimawari?L?}????	Sunflora	192	105	85	30	grass	2	0
"['Speed Boost', 'Compoundeyes', 'Frisk']"	0.5	1	1	2	1	0.25	2	2	1	0.25	0	2	1	1	1	4	1	1	65	5120	70	390	75	Clear Wing Pokmon	45	1000000	65	Yanyanma?????????}	Yanma	193	75	45	95	bug	2	0
"['Damp', 'Water Absorb', 'Unaware']"	1	1	1	0	1	1	0.5	1	1	4	1	1	1	0.5	1	0.5	0.5	1	45	5120	70	210	255	Water Fish Pokmon	45	1000000	55	Upah?E?p?[	Wooper	194	25	25	15	water	2	0
"['Damp', 'Water Absorb', 'Unaware']"	1	1	1	0	1	1	0.5	1	1	4	1	1	1	0.5	1	0.5	0.5	1	85	5120	70	430	90	Water Fish Pokmon	85	1000000	95	Nuoh?k?I?[	Quagsire	195	65	65	35	water	2	0
"['Synchronize', 'Magic Bounce']"	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	65	8960	70	525	45	Sun Pokmon	60	1000000	65	Eifie?G?[?t?B	Espeon	196	130	95	110	psychic	2	0
"['Synchronize', 'Inner Focus']"	2	0.5	1	1	2	2	1	1	0.5	1	1	1	1	1	0	1	1	1	65	8960	35	525	45	Moonlight Pokmon	110	1000000	95	Blacky?u???b?L?[	Umbreon	197	60	130	65	dark	2	0
"['Insomnia', 'Super Luck', 'Prankster']"	1	0.5	1	2	2	1	1	1	0.5	0.5	0	2	1	1	0	2	1	1	85	5120	35	405	30	Darkness Pokmon	42	1059860	60	Yamikarasu???~?J???X	Murkrow	198	85	42	91	dark	2	0
"['Oblivious', 'Own Tempo', 'Regenerator']"	2	2	1	2	1	0.5	0.5	1	2	2	1	0.5	1	1	0.5	1	0.5	0.5	75	5120	70	490	70	Royal Pokmon	80	1000000	95	Yadoking???h?L???O	Slowking	199	100	110	30	water	2	0
['Levitate']	0.5	2	1	1	1	0	1	1	2	1	1	1	0	0.5	1	1	1	1	60	6400	35	435	45	Screech Pokmon	60	800000	60	Muma???E?}	Misdreavus	200	85	85	85	ghost	2	0
['Levitate']	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	72	10240	70	336	225	Symbol Pokmon	48	1000000	48	Unknown?A???m?[??	Unown	201	72	48	48	psychic	2	0
"['Shadow Tag', 'Telepathy']"	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	33	5120	70	405	45	Patient Pokmon	58	1000000	190	Sonans?\?[?i???X	Wobbuffet	202	33	58	33	psychic	2	0
"['Inner Focus', 'Early Bird', 'Sap Sipper']"	2	2	1	1	1	1	1	1	0	1	1	1	1	1	0.5	1	1	1	80	5120	70	455	60	Long Neck Pokmon	65	1000000	70	Kirinriki?L???????L	Girafarig	203	90	65	85	normal	2	0
"['Sturdy', 'Overcoat']"	1	1	1	1	1	0.5	2	2	1	0.5	0.5	1	1	1	1	2	1	1	65	5120	70	290	190	Bagworm Pokmon	90	1000000	50	Kunugidama?N?k?M?_?}	Pineco	204	35	35	15	bug	2	0
"['Sturdy', 'Overcoat']"	0.5	1	0.5	1	0.5	1	4	1	1	0.25	1	0.5	0.5	0	0.5	1	0.5	1	90	5120	70	465	75	Bagworm Pokmon	140	1000000	75	Foretos?t?H???g?X	Forretress	205	60	60	40	bug	2	0
"['Serene Grace', 'Run Away', 'Rattled']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	70	5120	70	415	190	Land Snake Pokmon	70	1000000	100	Nokocchi?m?R?b?`	Dunsparce	206	65	65	45	normal	2	0
"['Hyper Cutter', 'Sand Veil', 'Immunity']"	0.5	1	1	0	1	0.5	1	1	1	1	0	4	1	0.5	1	1	1	2	75	5120	70	430	60	Flyscorpion Pokmon	105	1059860	65	Gliger?O???C?K?[	Gligar	207	35	65	85	ground	2	0
"['Rock Head', 'Sturdy', 'Sheer Force']"	0.5	1	0.5	0	0.5	2	2	0.5	1	1	2	1	0.5	0	0.5	0.25	0.5	2	125	6400	70	610	25	Iron Snake Pokmon	230	1000000	75	Haganeil?n?K?l?[??	Steelix	208	55	95	30	steel	2	0
